Symbol,5Y_Return
ENPH,-0.5097533031163208
EMN,-0.30085243918334914
DPZ,-0.21587745138338266
DVA,0.6215584817339463
DRI,0.7491218851718799
ZTS,-0.5308877480752224
ZBH,-0.46790300444260713
ZBRA,-0.5155690798178582
YUM,0.35518733801012137
XYL,-0.024613092589434893
XEL,0.33091432295500045
WYNN,-0.22838824195854135
WTW,0.024045558661946798
WMB,2.363337360828129
WY,-0.2212961753806243
WDC,8.342481689534203
WST,-0.038645270667580056
WELL,2.02804345042632
WFC,0.8506608076713216
WEC,0.41449190013896575
WAT,0.20430143586881866
WM,0.6320298795901507
WBD,-0.15593749284744263
WMT,1.6128439128255456
WAB,2.1899426326364013
GWW,1.8081218367159044
WRB,1.0723040802106611
VMC,0.6035129589027637
VST,9.75827585155884
V,0.4949190098039826
VICI,0.16126228210056248
VTRS,0.3149913140375704
VRTX,1.1344971262140642
VZ,0.1566063002538829
VRSK,0.05635890915280872
VRSN,0.334573905917664
VLTO,0.06860981936534305
VTR,0.7510999271001322
VLO,2.5142360350969684
UHS,-0.06723210599703122
UNH,0.018727520672520592
URI,2.0416668492381365
UPS,-0.37301104425674525
UAL,0.9239149752731917
UNP,0.3066464049296205
ULTA,0.4827496269115281
UDR,-0.07840610819097049
